week,region,marketing_spend,website_traffic
2025-12-29,North,52421.36,121276
2025-12-29,South,46540.49,101806
2025-12-29,East,39583.18,92986
2026-01-05,North,53053.8,116973
2026-01-05,South,44195.74,113220
2026-01-05,East,40214.25,95916
2026-01-12,North,50564.96,121470
2026-01-12,South,44583.47,108854
2026-01-12,East,42298.96,87052
2026-01-19,North,49516.93,124512
2026-01-19,South,44968.26,103744
2026-01-19,East,41802.54,93981
2026-01-26,North,49395.32,121762
2026-01-26,South,43081.69,102441
2026-01-26,East,40439.86,90748
2026-02-02,North,48426.74,118046
2026-02-02,South,43406.04,107632
2026-02-02,East,37128.17,87595
2026-02-09,North,46690.58,123075
2026-02-09,South,42130.88,106252
2026-02-09,East,43006.85,96300
2026-02-16,North,46875.26,122781
2026-02-16,South,43673.66,101883
2026-02-16,East,40236.54,95052
2026-02-23,North,51813.71,118681
2026-02-23,South,46824.29,98148
2026-02-23,East,39260.83,88663
2026-03-02,North,50833.76,121078
2026-03-02,South,45349.41,106049
2026-03-02,East,40576.34,93187
2026-03-09,North,51053.14,120944
2026-03-09,South,46408.99,109981
2026-03-09,East,39697.01,91430
2026-03-16,North,53187.16,117653
2026-03-16,South,49044.56,102060
2026-03-16,East,40098.3,88730
2026-03-23,North,55354.62,120432
2026-03-23,South,44892.26,105876
2026-03-23,East,40875.72,90887
2026-03-30,North,50704.04,107638
2026-03-30,South,45982.39,107524
2026-03-30,East,42474.11,96326
2026-04-06,North,50666.7,126539
2026-04-06,South,43920.54,110537
2026-04-06,East,39904.8,88442
2026-04-13,North,50745.47,129281
2026-04-13,South,46345.64,113483
2026-04-13,East,39675.07,95820
2026-04-20,North,49864.38,124430
2026-04-20,South,46479.39,110525
2026-04-20,East,41370.81,90197
2026-04-27,North,53080.51,131168
2026-04-27,South,45069.86,101262
2026-04-27,East,41839.28,91679
2026-05-04,North,51080.71,126300
2026-05-04,South,45371.31,107382
2026-05-04,East,40915.48,97696
2026-05-11,North,51486.85,118737
2026-05-11,South,44068.57,109120
2026-05-11,East,39281.41,87988
2026-05-18,North,52809.2,127298
2026-05-18,South,45667.47,109898
2026-05-18,East,41510.02,95206
2026-05-25,North,52822.6,113178
2026-05-25,South,45970.97,110944
2026-05-25,East,40582.58,93520
2026-06-01,North,53200.95,125105
2026-06-01,South,49288.83,113464
2026-06-01,East,41124.04,92915
2026-06-08,North,45827.68,123540
2026-06-08,South,44032.58,110194
2026-06-08,East,41633.03,96009
2026-06-15,North,54693.9,125069
2026-06-15,South,50872.52,110427
2026-06-15,East,39268.19,92041
2026-06-22,North,51101.55,127999
2026-06-22,South,44918.51,108581
2026-06-22,East,41232.67,92575
2026-06-29,North,53636.12,128436
2026-06-29,South,48936.71,108641
2026-06-29,East,43559.08,89714
2026-07-06,North,49135.77,120486
2026-07-06,South,46839.75,114736
2026-07-06,East,40617.55,92799
2026-07-13,North,51649.82,128575
2026-07-13,South,45994.17,108233
2026-07-13,East,39436.96,92644
2026-07-20,North,54632.36,126666
2026-07-20,South,45567.83,115261
2026-07-20,East,40762.93,99404
2026-07-27,North,55183.54,126728
2026-07-27,South,44206.23,119538
2026-07-27,East,42447.53,93785
2026-08-03,North,48350.3,114233
2026-08-03,South,49561.91,108289
2026-08-03,East,42393.25,91078
2026-08-10,North,47879.01,111593
2026-08-10,South,47690.1,110479
2026-08-10,East,41499.14,92292
2026-08-17,North,48179.36,117706
2026-08-17,South,46175.9,113392
2026-08-17,East,42705.72,95373
2026-08-24,North,43913.58,106958
2026-08-24,South,45817.54,103084
2026-08-24,East,44407.74,96737
