date,product,price,conversion_rate
2026-01-01,A,100,0.046
2026-01-01,B,125,0.0379
2026-01-01,C,150,0.0328
2026-01-02,A,100,0.046
2026-01-02,B,125,0.0438
2026-01-02,C,150,0.0341
2026-01-03,A,100,0.0474
2026-01-03,B,125,0.0403
2026-01-03,C,150,0.0351
2026-01-04,A,100,0.048
2026-01-04,B,125,0.0405
2026-01-04,C,150,0.0342
2026-01-05,A,100,0.0483
2026-01-05,B,125,0.0411
2026-01-05,C,150,0.0363
2026-01-06,A,100,0.0449
2026-01-06,B,125,0.043
2026-01-06,C,150,0.0353
2026-01-07,A,100,0.0467
2026-01-07,B,125,0.0412
2026-01-07,C,150,0.0344
2026-01-08,A,100,0.046
2026-01-08,B,125,0.0404
2026-01-08,C,150,0.0362
2026-01-09,A,100,0.0457
2026-01-09,B,125,0.0389
2026-01-09,C,150,0.0329
2026-01-10,A,100,0.0432
2026-01-10,B,125,0.0419
2026-01-10,C,150,0.0336
2026-01-11,A,100,0.0465
2026-01-11,B,125,0.0412
2026-01-11,C,150,0.0349
2026-01-12,A,100,0.0467
2026-01-12,B,125,0.0412
2026-01-12,C,150,0.0317
2026-01-13,A,100,0.0455
2026-01-13,B,125,0.0416
2026-01-13,C,150,0.037
2026-01-14,A,100,0.0487
2026-01-14,B,125,0.039
2026-01-14,C,150,0.0346
2026-01-15,A,100,0.0435
2026-01-15,B,125,0.0432
2026-01-15,C,150,0.0362
2026-01-16,A,100,0.0466
2026-01-16,B,125,0.0412
2026-01-16,C,150,0.0367
2026-01-17,A,100,0.048
2026-01-17,B,125,0.0427
2026-01-17,C,150,0.0356
2026-01-18,A,100,0.0454
2026-01-18,B,125,0.0421
2026-01-18,C,150,0.036
2026-01-19,A,100,0.0457
2026-01-19,B,125,0.0405
2026-01-19,C,150,0.0364
2026-01-20,A,100,0.0487
2026-01-20,B,125,0.0399
2026-01-20,C,150,0.0347
2026-01-21,A,100,0.0466
2026-01-21,B,125,0.0417
2026-01-21,C,150,0.0344
2026-01-22,A,100,0.049
2026-01-22,B,125,0.0416
2026-01-22,C,150,0.0357
2026-01-23,A,100,0.0488
2026-01-23,B,125,0.0404
2026-01-23,C,150,0.0349
2026-01-24,A,100,0.044
2026-01-24,B,125,0.0408
2026-01-24,C,150,0.0332
2026-01-25,A,100,0.0472
2026-01-25,B,125,0.0416
2026-01-25,C,150,0.0347
2026-01-26,A,100,0.0458
2026-01-26,B,125,0.0421
2026-01-26,C,150,0.0336
2026-01-27,A,100,0.0463
2026-01-27,B,125,0.042
2026-01-27,C,150,0.0328
2026-01-28,A,100,0.0471
