date,region,product,units_sold,revenue,returns
2026-01-01,North,A,108,10694.52,4
2026-01-01,North,B,73,8450.44,3
2026-01-01,North,C,68,10135.12,3
2026-01-01,South,A,97,9209.81,2
2026-01-01,South,B,82,10511.2,3
2026-01-01,South,C,62,9422.88,3
2026-01-01,East,A,85,8523.54,1
2026-01-01,East,B,75,9527.04,3
2026-01-01,East,C,55,8178.09,1
2026-01-02,North,A,105,9808.94,4
2026-01-02,North,B,92,10293.93,2
2026-01-02,North,C,65,9159.54,1
2026-01-02,South,A,104,10528.09,1
2026-01-02,South,B,81,9097.56,3
2026-01-02,South,C,61,8649.58,1
2026-01-02,East,A,83,7516.74,3
2026-01-02,East,B,74,9060.41,2
2026-01-02,East,C,56,8349.96,1
2026-01-03,North,A,95,9022.21,2
2026-01-03,North,B,88,10261.73,3
2026-01-03,North,C,72,10615.93,1
2026-01-03,South,A,95,9036.81,2
2026-01-03,South,B,77,9394.66,3
2026-01-03,South,C,67,9599.3,2
2026-01-03,East,A,77,7292.04,3
2026-01-03,East,B,75,8733.08,3
2026-01-03,East,C,56,7659.51,1
2026-01-04,North,A,98,9359.77,2
2026-01-04,North,B,90,10505.6,4
2026-01-04,North,C,70,9976.24,2
2026-01-04,South,A,111,10145.98,3
2026-01-04,South,B,82,10132.68,1
2026-01-04,South,C,71,9922.07,3
2026-01-04,East,A,87,8646.62,1
2026-01-04,East,B,65,7897.22,1
2026-01-04,East,C,67,9795.52,2
2026-01-05,North,A,89,8462.09,3
2026-01-05,North,B,84,10872.92,3
2026-01-05,North,C,69,9311.49,2
2026-01-05,South,A,98,9272.12,1
2026-01-05,South,B,78,9247.15,2
2026-01-05,South,C,75,10811.43,2
2026-01-05,East,A,97,9422.31,2
2026-01-05,East,B,70,8497.27,2
2026-01-05,East,C,52,7643.93,2
2026-01-06,North,A,107,10724.65,4
2026-01-06,North,B,85,10462.07,3
2026-01-06,North,C,71,9380.07,1
2026-01-06,South,A,113,11011.74,4
2026-01-06,South,B,74,9223.47,3
2026-01-06,South,C,64,9601.61,1
2026-01-06,East,A,91,7989.08,3
2026-01-06,East,B,69,7971.26,3
2026-01-06,East,C,63,8900.86,1
2026-01-07,North,A,112,10719.41,3
2026-01-07,North,B,92,10563.39,4
2026-01-07,North,C,69,9951.42,1
2026-01-07,South,A,100,10516.28,3
2026-01-07,South,B,76,8433.4,3
2026-01-07,South,C,66,9563.14,3
2026-01-07,East,A,75,6914.5,3
2026-01-07,East,B,88,10310.49,3
2026-01-07,East,C,51,7921.62,1
2026-01-08,North,A,99,10194.13,1
2026-01-08,North,B,86,11267.11,2
2026-01-08,North,C,69,9733.33,1
2026-01-08,South,A,99,9726.77,1
2026-01-08,South,B,83,10501.19,3
2026-01-08,South,C,66,9666.1,3
2026-01-08,East,A,86,8540.91,2
2026-01-08,East,B,84,9879.25,2
2026-01-08,East,C,61,9453.94,1
2026-01-09,North,A,113,11574.3,5
2026-01-09,North,B,81,9562.82,3
2026-01-09,North,C,69,10148.29,2
2026-01-09,South,A,112,10695.92,4
2026-01-09,South,B,84,9744.22,2
2026-01-09,South,C,74,11099.38,2
2026-01-09,East,A,91,8500.1,4
2026-01-09,East,B,79,9886.37,2
2026-01-09,East,C,68,9947.65,2
2026-01-10,North,A,110,11118.63,2
2026-01-10,North,B,95,11084.56,3
2026-01-10,North,C,75,10867.89,3
2026-01-10,South,A,100,9065.41,3
2026-01-10,South,B,87,9821.95,2
2026-01-10,South,C,59,8878.62,2
2026-01-10,East,A,96,9340.58,4
2026-01-10,East,B,78,8689.76,3
2026-01-10,East,C,63,9845.07,2
2026-01-11,North,A,117,11287.83,3
2026-01-11,North,B,92,10900.65,2
2026-01-11,North,C,71,10656.82,3
2026-01-11,South,A,93,9482.24,3
2026-01-11,South,B,77,9290.86,2
2026-01-11,South,C,73,10625.34,1
